id,passageId,questionTypeId,question,potentialAnswers,correctAnswers
5747,883,1,"Which feature of the rocket does this sentence tell us about? ""Taller than the tallest building Dawn had seen.""","[""Its size"", ""Its shape"", ""Its color"", ""Its weight""]","[""Its size""]"
5748,883,1,Where is Dawn going?,"[""Underwater"", ""Underground"", ""Into space"", ""Into the future""]","[""Into space""]"
5750,884,1,"""Rob rolled to work."" What does the word ""rolled"" tell us about Rob?","[""That Rob moves on wheels."", ""That Rob moves on feet."", ""That Rob moves on tentacles."", ""That Rob can't move.""]","[""That Rob moves on wheels.""]"
5753,884,1,"What is the same about all three of these sentences? ""Rob woke himself up. Rob made himself toast. Rob rolled to work.""","[""They all use the word \""himself.\"""", ""They all start with the same word."", ""They all end with the same word."", ""They all have the same number of syllables (beats).""]","[""They all start with the same word.""]"
5755,885,1,"Why is the word ""ever"" written in italics (slanted letters)?","[""To show that this word is important to remember."", ""To show this word is in a different language."", ""To show that this word has to be read aloud."", ""To show emphasis.""]","[""To show emphasis.""]"
5756,885,1,"Which genre of story usually starts with the phrase, ""Once upon a time""?","[""Science Fiction"", ""Fairy Tales"", ""Adventure"", ""Biography""]","[""Fairy Tales""]"
5757,885,1,"Why do the words ""never"" and ""ever"" sound good together?","[""Because they start with the same sound."", ""Because they mean the same thing."", ""Because they rhyme."", ""Because they are homophones.""]","[""Because they rhyme.""]"
5758,885,1,"Why do the words ""forever"" and ""flame"" sound good together?","[""Because they have the same vowel sound."", ""Because they end with the same sound."", ""Because they rhyme."", ""Because they start with the same sound.""]","[""Because they start with the same sound.""]"
5759,887,1,What is the problem in this story?,"[""The boy wants to pass over the troll's bridge, but the troll won't let him."", ""The troll wants to pass over the boy's bridge, but the boy won't let him."", ""The troll and the boy want to pass over a bridge, but they have to answer a riddle first."", ""The boy and the troll can remember the riddle they wrote.""]","[""The boy wants to pass over the troll's bridge, but the troll won't let him.""]"
5760,887,1,"Why does the troll say ""Uhhh""?","[""Because he does not speak English."", ""Because he is thinking."", ""Because he is singing."", ""Because he is trying to scare the boy.""]","[""Because he is thinking.""]"
5762,887,1,What is the troll trying to do at the end of this passage?,"[""Tell the boy a riddle"", ""Fight the boy"", ""Remember his riddle"", ""Take a test""]","[""Remember his riddle""]"
5764,888,1,What is this passage about?,"[""A witch casting a spell."", ""A witch making a magic stew."", ""A woman cooking dinner."", ""A woman fixing old clothes.""]","[""A witch making a magic stew.""]"
5767,888,1,"Which feature connects the words ""grass"" and ""hat""?","[""They have the same starting sound."", ""They have the same vowel sound."", ""They have the same end sound."", ""They rhyme.""]","[""They have the same vowel sound.""]"
5769,889,1,"What connects all of these word pairs from the text: ""grow/crow,"" ""ear/cheer,"" ""floor/roar""?","[""They are homophones (words that sound the same but look different)."", ""They have the same starting sound."", ""They are synonyms (different words that mean the same thing)."", ""They rhyme.""]","[""They rhyme.""]"
5770,889,1,What is the same about the first three sentences of this text?,"[""They all start with the phrase, \""Everyone came to see the girl...\"""", ""They all start with the phrase, \""People came from...\"""", ""They all rhyme."", ""They all end with the same word.""]","[""They all start with the phrase, \""People came from...\""""]"
5771,889,1,Why did so many people come to see the girl?,"[""Because her hair wouldn't stop growing."", ""Because she didn't have any hair."", ""Because she had the power to make other people's hair grow."", ""Because she had magic powers.""]","[""Because her hair wouldn't stop growing.""]"
5772,889,1,"What do the words ""crow,"" ""cheer,"" and ""roar"" have in common, as they are used in the text?","[""They all rhyme."", ""They are all homophones (words that sound the same but have different meanings)."", ""They are all words that mean \""said loudly.\"""", ""They are all words that mean \""said quietly.\""""]","[""They are all words that mean \""said loudly.\""""]"
5774,892,1,Who was cursed?,"[""The swan"", ""The queen"", ""Both"", ""Neither""]","[""The swan""]"
5775,892,1,Who lifted the curse?,"[""The swan"", ""The queen"", ""Both"", ""Neither""]","[""The queen""]"
5777,892,1,Who is the main character of this story?,"[""The swan"", ""The queen"", ""The bread"", ""None of the above""]","[""The queen""]"
5780,894,1,"Which word or phrase means the same thing as ""Nuh-uh,"" as Naya uses it?","[""\""Oh yes\"""", ""\""Maybe\"""", ""\""That's right\"""", ""\""No way\""""]","[""\""No way\""""]"
5781,894,1,Why don't they want to go near the house?,"[""Because someone mean lives there."", ""Because they think it's haunted."", ""Because their parents told them not to."", ""Because they think a monster lives there.""]","[""Because they think it's haunted.""]"
5782,894,1,"What does it mean that the house is ""haunted""?","[""Ghosts live there"", ""Ghosts know about it"", ""It was built by ghosts"", ""Ghosts never go there""]","[""Ghosts live there""]"
5783,894,1,"Which movement would Milo likely be doing when he said ""We don't go near that house""?","[""Waving at the house"", ""Winking at the house"", ""Giving a thumbs up to the house"", ""Pointing to the house""]","[""Pointing to the house""]"
5786,896,1,True or False: This story is being told by the lady next door.,"[""True"", ""False""]","[""False""]"
5789,897,1,How do you think Ady is feeling?,"[""Relaxed"", ""Excited"", ""Scared"", ""Curious""]","[""Scared""]"
5790,897,1,What is the most likely reason for Ady's window being dark? ,"[""He painted it black."", ""It is nighttime. "", ""The sun is covered by clouds."", ""His curtains are closed.""]","[""It is nighttime. ""]"
5791,897,1,"Why do the words ""heard"" and ""howl"" sound good next to each other?","[""Because they rhyme."", ""Because they end with the same sound."", ""Because they have the same vowel sound."", ""Because they start with the same sound.""]","[""Because they start with the same sound.""]"
5792,897,1,"Which sense does the word ""howl"" relate to?","[""Sight"", ""Smell"", ""Sound"", ""Taste""]","[""Sound""]"
5793,897,1,"What does the word ""whispered"" mean?","[""Spoke in whiny voice"", ""Spoke softly and quietly"", ""Spoke loudly and clearly"", ""Shouted""]","[""Spoke softly and quietly""]"
5794,898,1,Which word would best describe a shadow?,"[""Hot"", ""Bright"", ""Dark"", ""Bumpy""]","[""Dark""]"
5795,898,1,"The words ""longer and ""wider"" describe the shadow's __________.","[""Size and shape"", ""Height and weight"", ""Color and pattern"", ""Thickness and depth""]","[""Size and shape""]"
5796,898,1,"Why did the author repeat the word ""grew"" in this sentence: ""It grew and grew""?","[""In case the reader didn't see it the first time."", ""Because together they make an even bigger word."", ""To show that the shadow kept on growing."", ""It was likely a mistake.""]","[""To show that the shadow kept on growing.""]"
5797,898,1,How big did the shadow grow to be?,"[""The size of the house"", ""The size of the town"", ""The size of a car"", ""The size of the world""]","[""The size of the town""]"
5798,898,1,What is this story about?,"[""A spooky town."", ""A town that wouldn't stop growing."", ""A garden that wouldn't stop growing."", ""A shadow that wouldn't stop growing.""]","[""A shadow that wouldn't stop growing.""]"
5799,899,1,What is the mood of this passage?,"[""Silly"", ""Spooky"", ""Joyful"", ""Calm""]","[""Spooky""]"
5800,899,1,Why is it strange that someone giggled?,"[""Because Tim was not trying to be funny."", ""Because nobody in this story can laugh."", ""Because Tim hates giggles."", ""Because Tim thought he was alone.""]","[""Because Tim thought he was alone.""]"
5801,899,1,"What feature connects the words ""talked"" and ""walked""?","[""They rhyme."", ""They have the same starting sound."", ""They start with the same letter."", ""They sound different, but mean the same thing.""]","[""They rhyme.""]"
5804,900,1,"What choice does Dad mean when he says ""dry and bored""?","[""Stay in the house"", ""Go out in the rain"", ""Sit through a boring class"", ""Go swimming""]","[""Stay in the house""]"
5805,900,1,"What choice does Dad mean when he says ""wet and happy""?","[""Stay inside the house"", ""Go out in the rain"", ""Sit through a boring class"", ""Go swimming""]","[""Go out in the rain""]"
5806,900,1,Where is this scene most likely taking place?,"[""Out in the yard"", ""On a beach"", ""Inside their house"", ""At school""]","[""Inside their house""]"
5807,900,1,"Why is the word ""bored"" written all in uppercase letters?","[""To show that Taye was doing an action."", ""To show that Taye was speaking."", ""To show that Taye was speaking loudly."", ""To show that Taye was thinking.""]","[""To show that Taye was speaking loudly.""]"
5808,900,1,Why is Taye bored?,"[""Because the rain meant he couldn't play inside."", ""Because his Dad wouldn't play with him."", ""Because all his friends were away."", ""Because the rain meant he couldn't play outside.""]","[""Because the rain meant he couldn't play outside.""]"
5810,901,1,"Which sense does the word ""snapped"" most relate to when used in the sentence: ""She snapped on her gloves""?","[""Smell"", ""Taste"", ""Touch"", ""Sound""]","[""Sound""]"
5812,901,1,What was Kay getting ready for?,"[""An adventure"", ""A sports match"", ""A battle"", ""She didn't know""]","[""She didn't know""]"
5813,901,1,Who is the main character of this story?,"[""May"", ""Kate"", ""Kay"", ""Klay""]","[""Kay""]"
5814,902,1,What are these characters doing?,"[""Visiting the zoo"", ""Playing baseball"", ""Playing tennis"", ""Performing a play""]","[""Playing baseball""]"
5815,902,1,Who is the main character in this story?,"[""Amir"", ""The pitcher"", ""The narrator"", ""The bat""]","[""Amir""]"
5816,902,1,How do you think Amir is feeling?,"[""Relaxed"", ""Confident"", ""Surprised"", ""Nervous""]","[""Nervous""]"
5817,902,1,Why did the author use an ellipsis [...] in the last sentence?,"[""To show that the last sentence had ended"", ""To show a very quick pause"", ""To show that and action happens here"", ""To show a long pause""]","[""To show a long pause""]"
5818,902,1,Which position is Amir playing?,"[""Pitcher"", ""Batter"", ""First-base"", ""Catcher""]","[""Batter""]"
5820,903,1,"Complete this sentence: Based on the text, Aida is ___________ the horse.","[""Taller than"", ""Shorter than"", ""The same as"", ""None of the above""]","[""Shorter than""]"
5821,903,1,True or False: The horse was as tall as a building.,"[""True"", ""False""]","[""False""]"
5822,903,1,"When Aida says, ""You want me to ride this thing,"" what is the ""thing""?","[""The horse"", ""The building"", ""The elevator"", ""The ferris wheel""]","[""The horse""]"
5823,903,1,Who is telling this story?,"[""The horse"", ""Aida"", ""The narrator""]","[""The narrator""]"
5825,833,1,"What does it mean that she ""looked this way and that""?","[""She looked with one eye open, and one eye closed."", ""She looked up and down."", ""She looked standing on one foot, and then the other foot."", ""She looked to the left, and to the right.""]","[""She looked to the left, and to the right.""]"
5826,844,1,Where is Beth?,"[""In a costume store"", ""At home"", ""On a pirate ship"", ""In an airplane""]","[""On a pirate ship""]"
5827,865,1,"Why is the word ""long"" written with so many extra Os in it in the text?","[""To show the reader that it should be read loudly."", ""To show the reader that it should be stretched out when read."", ""To show the reader that it should be read quietly."", ""It is a mistake.""]","[""To show the reader that it should be stretched out when read.""]"
5829,905,1,Who is Jing talking to?,"[""Her dad"", ""Her mom"", ""Her brother"", ""Herself""]","[""Herself""]"
5830,905,1,What is the problem in this story?,"[""Jing is stuck under a tree."", ""Jing is stuck hanging from a tree branch."", ""Jing is stuck on the roof."", ""Jing is stuck on the fence.""]","[""Jing is stuck hanging from a tree branch.""]"
5831,905,1,How is Jing most likely feeling?,"[""Frustrated"", ""Excited"", ""Scared"", ""Surprised""]","[""Scared""]"
5832,905,1,What is Jing trying to do?,"[""Climb down from the branch"", ""Swing into her neighbour's yard"", ""Call for help"", ""Calm herself down""]","[""Calm herself down""]"
5833,905,1,What will likely happen if Jing lets go of the branch?,"[""She will fall down and hurt herself."", ""She will climb higher in the tree."", ""She will land on a trampoline."", ""She will swing into her neighbor's yard.""]","[""She will fall down and hurt herself.""]"
5834,906,1,What are these boys doing?,"[""Eating candy"", ""Trick-or-treating"", ""Trading candy"", ""Making candy""]","[""Trading candy""]"
5837,906,1,"What does Youssef mean when he says ""I was born ready""?","[""\""I'm too young for this\"""", ""\""Yes, I'm ready\"""", ""\""No, I'm not ready\"""", ""\""I don't think you're ready\""""]","[""\""Yes, I'm ready\""""]"
5838,906,1,Which color of candy does Youssef NOT have? ,"[""Orange"", ""Red"", ""Green"", ""Purple"", ""Blue""]","[""Green""]"
5839,910,1,What are Elle and John talking about?,"[""The moon"", ""Cheese"", ""Spaceships"", ""A man""]","[""The moon""]"
5840,910,1,"What does Elle mean when she says ""No clue""?","[""\""I do\"""", ""\""Nobody knows\"""", ""\""I don't know\"""", ""\""Everyone knows\""""]","[""\""I don't know\""""]"
5842,910,1,Which word would best describe these two characters?,"[""Cruel"", ""Curious"", ""Beautiful"", ""Shy""]","[""Curious""]"
5843,910,1,True or False: This story takes place before the first humans walked on the moon.,"[""True"", ""False""]","[""True""]"
5845,914,1,"Which word is ""'bout"" a short form of?","[""About"", ""Around"", ""Boat"", ""Boot""]","[""About""]"
5846,914,1,What hint about the story can we get from its title?,"[""The setting (place)"", ""The main character"", ""The plot"", ""An important object""]","[""The main character""]"
5847,914,1,"Which meaning of the word ""rose"" is used in this sentence: ""Dust rose around his boots.""?","[""A kind of flower"", ""A number of things in a straight line"", ""To move from lower to higher"", ""A kind of pink""]","[""To move from lower to higher""]"
5848,914,1,What had the cowboy likely been doing just before this scene?,"[""Riding his horse"", ""Walking beside his horse"", ""Driving a car"", ""Walking to town""]","[""Riding his horse""]"
5850,916,1,Why would Hans need a map and compass?,"[""Because he is going somewhere he has never been before."", ""Because he might want to buy something."", ""Because he might want to write something down."", ""Because they help him to sleep.""]","[""Because he is going somewhere he has never been before.""]"
5853,916,1,Where is Hans going?,"[""Home"", ""School"", ""A castle"", ""The text does not say""]","[""The text does not say""]"
5854,917,1,Where does this scene take place?,"[""In space"", ""In a school"", ""In a shop"", ""In a kitchen""]","[""In a shop""]"
5855,917,1,How do you think Mona is feeling in this scene?,"[""Curious"", ""Angry"", ""Upset"", ""Excited""]","[""Curious""]"
5856,917,1,"Which character says ""What's it for""?","[""Mona"", ""The shop owner"", ""Neither"", ""Both""]","[""Mona""]"
5857,917,1,What hints about this story can the reader get from its title?,"[""The plot"", ""The villain"", ""The main character"", ""An important object""]","[""An important object""]"
5859,918,1,What is Ida doing?,"[""Making up a new game"", ""Explaining the rules of a game"", ""Learning how to play a new game"", ""Playing a game""]","[""Explaining the rules of a game""]"
5861,918,1,"What does Ida mean when she says ""Get it""?","[""\""Do you understand?\"""", ""\""Go get it!\"""", ""\""Let's play!\"""", ""\""Do you want to play?\""""]","[""\""Do you understand?\""""]"
5862,918,1,What is most likely going to happen next in the story?,"[""Ida is going to play jacks by herself."", ""Ida is going to play jacks with someone else."", ""Ida is going to read a book."", ""Ida is going to go meet her friend, Jack.""]","[""Ida is going to play jacks with someone else.""]"
5863,918,1,"Why is the game called ""jacks""?","[""Because only people named Jack can play."", ""Because you use the jacks from a deck of cards to play."", ""Because you use objects called \""jacks\"" to play."", ""Because you call out \""jacks\"" when you play.""]","[""Because you use objects called \""jacks\"" to play.""]"
5864,919,1,Why is the cake special?,"[""Because they usually don't have enough sugar to bake a cake."", ""Because it was the biggest cake Papa had ever made."", ""Because the icing was decorated with many beautiful colors."", ""Because Papa used magic to make the cake.""]","[""Because they usually don't have enough sugar to bake a cake.""]"
5865,919,1,What has Papa been saving?,"[""Money"", ""Sugar"", ""Time"", ""Cakes""]","[""Sugar""]"
5866,919,1,"Which word means the same thing as ""Papa""?","[""Mother"", ""Father"", ""Sister"", ""Brother""]","[""Father""]"
5867,919,1,How is Papa feeling in this scene?,"[""Nervous"", ""Angry"", ""Bored"", ""Excited""]","[""Excited""]"
5868,919,1,What hints about the story can we get from the title?,"[""The main character"", ""The plot"", ""An important object"", ""The setting (the time and place)""]","[""An important object""]"
5869,923,1,Which culture does the myth of Bragi come from?,"[""Greek"", ""Egyptian"", ""Roman"", ""Norse""]","[""Norse""]"
5870,923,1,What is Bragi the god of?,"[""Bragging"", ""Poetry"", ""Norse"", ""Painting""]","[""Poetry""]"
5871,923,1,"The word ""myth"" is short for the word ______________.","[""Mythym"", ""Mythology"", ""Rhythm"", ""Mathematics""]","[""Mythology""]"
5872,923,1,Bragi is a ___________.,"[""Human"", ""God"", ""Dog"", ""Poem""]","[""God""]"
5873,923,1,"What does the word ""myth"" mean?","[""A very old culture or people."", ""Anything magical."", ""A cultural story that often involves magic or the supernatural."", ""A very long story.""]","[""A cultural story that often involves magic or the supernatural.""]"
5874,924,1,Which culture does the story of Tyr come from?,"[""Norse"", ""Egyptian"", ""Roman"", ""Greek""]","[""Norse""]"
5875,924,1,What is Tyr the god of?,"[""Poetry"", ""Mythology"", ""War"", ""Norse""]","[""War""]"
5876,924,1,Which object would be the best symbol for Tyr?,"[""An instrument"", ""A paintbrush"", ""An apple"", ""A weapon""]","[""A weapon""]"
5877,924,1,Which hint about the text can we get from the title?,"[""The setting (time and place)"", ""An important character or figure"", ""The plot"", ""An important object or symbol""]","[""An important character or figure""]"
5879,924,1,"True or False: Tyr was a real, historical figure.","[""True"", ""False""]","[""False""]"
6135,929,1,What is the topic of this passage?,"[""Sound in space"", ""Spaceships"", ""Sound effects"", ""Ears""]","[""Sound in space""]"
6136,929,1,"Which part of the text means the same thing as the word ""silent""?","[""\""There is\"""", ""\""no sound\"""", ""\""in space\"""", ""None of the above""]","[""\""no sound\""""]"
6137,929,1,"Why do the words ""silent"" and ""space"" in the title sound good together?","[""Because they rhyme"", ""Because they have the same vowel sound"", ""Because they have the same starting sound"", ""Because they have the same ending sound""]","[""Because they have the same starting sound""]"
6138,929,1,Which sense is most important to the topic of this text?,"[""Sight"", ""Smell"", ""Hearing"", ""Touch""]","[""Hearing""]"
6139,929,1,Which question is NOT answered by the text?,"[""Where is there no sound?"", ""Is there sound in space?"", ""Why is there no sound in space?""]","[""Why is there no sound in space?""]"
6141,932,1,"What connects the words ""nose"" and ""knows"" in the title of this passage?","[""They are antonyms (words that are opposites in meaning)."", ""They are synonyms (different words that mean the same thing)."", ""They are homophones (words that sound the same, but look different)."", ""They are homographs (words that are spelled the same, but have different meanings).""]","[""They are homophones (words that sound the same, but look different).""]"
6142,932,1,"Based on the text, what special thing do a dog's two nose tubes help them to do?","[""Smell while they breathe in"", ""Smell while they breathe out"", ""Smell things very far away"", ""Tell the difference between many kinds of smells""]","[""Smell while they breathe out""]"
6143,932,1,True or False: Human noses can also smell while they breathe out.,"[""True"", ""False""]","[""False""]"
6144,932,1,Which part of the text gives details about WHY a dog can smell while it breathes out?,"[""\""A dog’s nose has two air tubes. One is for breath. One is for smells.\"""", ""\""That means dogs can smell even when they breathe out!\""""]","[""\""A dog’s nose has two air tubes. One is for breath. One is for smells.\""""]"
6145,933,1,"Based on this text, what do all mammals have?","[""Legs"", ""Ears"", ""Hair"", ""Tails""]","[""Hair""]"
6146,933,1,Which group of animals is this passage about?,"[""Fish"", ""Mammals"", ""Reptiles"", ""Birds""]","[""Mammals""]"
6147,933,1,What does this passage say about mammals that live in the sea?,"[""That they have hair"", ""That they are mammals"", ""That they can swim"", ""That they have scales""]","[""That they have hair""]"
6148,933,1,Why do you think the author wrote this passage?,"[""To make the reader laugh"", ""To entertain the reader with a made-up story"", ""To teach the reader about mammals"", ""To change the reader's mind about the sea""]","[""To teach the reader about mammals""]"
6149,933,1,Which sentence states the main topic of the text?,"[""\""All mammals have hair.\"""", ""\""Even the ones that live in the sea.\""""]","[""\""All mammals have hair.\""""]"
6150,934,1,What is the main topic of this passage?,"[""Different kinds of bones"", ""Human flight"", ""The meaning of the word \""hollow\"""", ""Bird bones""]","[""Bird bones""]"
6151,934,1,"Based on the text, why are bird bones hollow?","[""Because birds do not eat very much."", ""Because bird bones are made out of stronger material than human bones."", ""Because birds need to be able to fold up very small."", ""Because birds have to be very light to fly.""]","[""Because birds have to be very light to fly.""]"
6152,934,1,"What does the word ""hollow"" mean?","[""Empty on the outside"", ""Empty on the inside"", ""Very light"", ""Made of bone""]","[""Empty on the inside""]"
6153,934,1,"Based on clues in the text, which kind of bones are lighter?","[""Hollow bones"", ""Not-hollow bones""]","[""Hollow bones""]"
6154,934,1,"Which meaning of the word ""light"" is being used in the sentence: ""Birds are very light.""?","[""Bright"", ""Pale"", ""Not heavy"", ""Not serious""]","[""Not heavy""]"
6155,935,1,"Based on the text, what do no birds have?","[""A bill"", ""Lips"", ""A beak"", ""A mouth""]","[""Lips""]"
6156,935,1,"Why is the word ""duck"" in the title of this passage?","[""Because ducks have lips"", ""Because ducks are a kind of bird"", ""Because the author's name is \""Duck\"""", ""Because this passage is only about ducks""]","[""Because ducks are a kind of bird""]"
6158,935,1,Which sentence states what birds DO NOT have?,"[""\""No birds have lips.\"""", ""\""All birds have either a bill or a beak.\""""]","[""\""No birds have lips.\""""]"
6159,935,1,"How does the phrase ""no birds"" relate to the phrase ""all birds""?","[""They mean the same thing"", ""They mean almost the same thing"", ""They mean slightly different things"", ""They are opposites""]","[""They are opposites""]"
6160,936,1,What is the main idea of this passage?,"[""Bamboo"", ""Bamboo is a fast growing plant"", ""Fast growing plants"", ""Things that can happen in a single day""]","[""Bamboo is a fast growing plant""]"
6162,936,1,"Which sentence gives detailed proof for the statement that bamboo grows ""very fast""?","[""\""Bamboo is a plant.\"""", ""\""It grows very fast.\"""", ""\""Some kinds grow three feet in one day!\""""]","[""\""Some kinds grow three feet in one day!\""""]"
6163,936,1,This passage suggests that bamboo grows __________ many other plants.,"[""Faster than"", ""Slower than"", ""At the same rate as""]","[""Faster than""]"
6164,936,1,"Based on the text, how high can bamboo grow in a day?","[""1 foot"", ""2 feet"", ""3 feet"", ""4 feet""]","[""3 feet""]"
6165,937,1,Who is Hypnos?,"[""The Greek god of caves"", ""The Greek god of sleep"", ""The god of day and night"", ""The Roman god of caves""]","[""The Greek god of sleep""]"
6166,937,1,Which item would be the best symbol to represent Hypnos?,"[""A bed"", ""A weapon"", ""A cave"", ""A flower""]","[""A bed""]"
6167,937,1,"True or False: ""the cave where day and night meet"" is not a real place.","[""True"", ""False""]","[""True""]"
6168,937,1,Where does Hypnos live?,"[""In space"", ""In a cave"", ""In a house"", ""In a tree""]","[""In a cave""]"
6169,937,1,"Why do you think Hypnos' cave is said to be where ""day and night meet""?","[""Because that is when sleep happens."", ""Because that is where all Greek gods live."", ""Because that is where caves are."", ""None of the above.""]","[""Because that is when sleep happens.""]"
6172,938,1,Which item would be the best symbol for Eros?,"[""A flower"", ""A book"", ""A heart"", ""A weapon""]","[""A heart""]"
6173,938,1,Which holiday is often connected to this character?,"[""Christmas"", ""Halloween"", ""Ramadan"", ""Valentine's Day""]","[""Valentine's Day""]"
6174,938,1,What is Eros the god of?,"[""Hearts"", ""Love"", ""Dreams"", ""Cards""]","[""Love""]"
6175,943,1,What is the topic of this passage?,"[""U.S. presidents"", ""History"", ""George Washington"", ""American money""]","[""George Washington""]"
6176,943,1,When did George Washington leave office?,"[""1789"", ""1797"", ""1879"", ""1798""]","[""1797""]"
6178,943,1,Which form of American money has George Washington's face on it?,"[""The $100 bill"", ""The $1 bill"", ""The dime"", ""The quarter""]","[""The $1 bill""]"
6179,943,1,True or False: This text is a work of fiction.,"[""True"", ""False""]","[""False""]"
6181,949,1,What lesson can the reader learn from the true story of the Wright Brothers?,"[""Sometimes the right thing to do is give up."", ""Even if you fail, if you keep trying you will likely succeed."", ""The tails are the most important part of a n airplane."", ""You should only ever work with your siblings.""]","[""Even if you fail, if you keep trying you will likely succeed.""]"
6182,949,1,"Why did the author repeat the phrase ""and again"" so many times?","[""To show that the brothers tried and failed many, many times."", ""To show that every time the brothers failed, they gave up."", ""To show that airplanes can fly very, very far."", ""To show that the planes would fly up, and then fall down.""]","[""To show that the brothers tried and failed many, many times.""]"
6183,949,1,Which part of the text shows details about HOW the brothers rebuilt the plane?,"[""\""Once there were two brothers: Orville and Wilbur Wright.\"""", ""\""But first they failed. They failed a lot. But they tried again. And again. And again.\"""", ""\""They built new wings. They built new tails.\"""", ""\""They tried and tried. Then one day, they flew!\""""]","[""\""They built new wings. They built new tails.\""""]"
6184,949,1,What did the Wright brothers do before they flew?,"[""They built the first airplane."", ""They failed at flying."", ""They gave up."", ""They built the first car.""]","[""They failed at flying.""]"
6185,951,1,What was special about Belka and Strelka?,"[""They were the first people in space."", ""They were the first dogs in space."", ""They were the first creatures from Earth in space."", ""They were Russian.""]","[""They were the first creatures from Earth in space.""]"
6187,951,1,"What connects the names ""Belka"" and ""Strelka""? ","[""They rhyme."", ""They have the same starting sound."", ""They have the same number of letters."", ""They are homographs (words that look the same but have different meanings).""]","[""They rhyme.""]"
6188,951,1,Which part of the text tells the reader WHEN Belka and Strelka went to space?,"[""\""Who took the first safe trip into space? People? Nope! Two Russian dogs!\"""", ""\""Their names were Belka and Strelka.\"""", ""\""The year was 1960.\"""", ""\""They spent a whole day up there. Then they came back safely.\""""]","[""\""The year was 1960.\""""]"
6189,951,1,"Why does the author begin by asking a question, and giving the wrong answer?","[""To show that they don't know what they are talking about."", ""Because they got confused."", ""To try and confuse the reader."", ""To show that what the reader might expect is not true.""]","[""To show that what the reader might expect is not true.""]"
6190,952,1,"Which meaning of the word ""ruler"" is being used in the sentence: ""King Tut was a ruler in Egypt.""?","[""A tool used to draw straight lines"", ""A tool used to measure distances"", ""A person who is the leader of a place or group"", ""None of the above""]","[""A person who is the leader of a place or group""]"
6191,952,1,What was unusual about King Tut?,"[""He was a ruler in Egypt."", ""He was still a child when he was ruler."", ""He did not live in Egypt, even when he was its ruler."", ""He only ruled Egypt for nine years.""]","[""He was still a child when he was ruler.""]"
6193,952,1,Which part of the text tells the reader WHAT PLACE King Tut was ruler of?,"[""\""King Tut was a ruler in Egypt.\"""", ""\""But he was only nine years old!\"""", ""\""King Tut\""""]","[""\""King Tut was a ruler in Egypt.\""""]"
6194,952,1,How old was King Tut when he ruled Egypt?,"[""3 years old"", ""6 years old"", ""9 years old"", ""12 years old""]","[""9 years old""]"
6195,953,1,Who was Mozart?,"[""A famous musician"", ""A famous king"", ""A famous queen"", ""A famous scientist""]","[""A famous musician""]"
6196,953,1,Which sentence shows the best proof that Mozart was extremely talented?,"[""\""He wrote music.\"""", ""\""He played music, too.\"""", ""\""So good that he played for kings and queens.\"""", ""\""He was a rock star (of the 1700s)!\""""]","[""\""So good that he played for kings and queens.\""""]"
6197,953,1,"What is meant by the phrase ""(of the 1700s)"" in the last sentence?","[""Mozart was 1700 years old."", ""Mozart lived during the 1700s."", ""Mozart played for crowds of 1700 and more."", ""Mozart wrote over 1700 pieces of music.""]","[""Mozart lived during the 1700s.""]"
6198,953,1,"Why is the phrase ""(of the 1700s)"" written in brackets ""( )""?","[""To show that the phrase is a side note."", ""To show that the phrase describes an action."", ""To show that the phrase should not be read aloud."", ""To show that the phrase is what somebody is thinking.""]","[""To show that the phrase is a side note.""]"
6199,953,1,How old was Mozart when he learned to play the piano?,"[""2"", ""5"", ""8"", ""12""]","[""5""]"
6200,954,1,What was Bobby Fischer the best at?,"[""Setting records"", ""Fishing"", ""Checkers"", ""Chess""]","[""Chess""]"
6201,954,1,What information can the reader get about this passage from the title?,"[""An object important to the subject"", ""The place and time of important events"", ""The name of the person who wrote the text"", ""The name of the person who the text is about""]","[""The name of the person who the text is about""]"
6203,954,1,What was unusual about Bobby Fischer?,"[""He loved chess."", ""He was extremely good at chess for someone so young."", ""He was great at chess, but never liked it."", ""It took him 14 tries to beat the world record in chess.""]","[""He was extremely good at chess for someone so young.""]"
6204,954,1,"What does the word ""champion"" mean?","[""Someone who is very young."", ""Someone who has been all over the world."", ""Someone who is the very best at something."", ""Someone who is the very worst at something.""]","[""Someone who is the very best at something.""]"
6207,955,1,What hints about the story get the reader get from the title?,"[""The setting (time and place)"", ""The main character"", ""An important object or symbol"", ""The plot""]","[""An important object or symbol""]"
6208,955,1,Why does Lyle think he is cursed?,"[""Because a black cat crossed his path."", ""Because he stopped walking."", ""Because his mouth hung open."", ""There is not enough information in the text.""]","[""Because a black cat crossed his path.""]"
6209,955,1,"What is the meaning of the word ""dash"" as it is used here: ""The black cat dashed across the road...""?","[""A small amount of something"", ""Something becoming ruined"", ""To run quickly"", ""To walk slowly""]","[""To run quickly""]"
6210,956,1,What is Mel doing in this story?,"[""Playing the guitar"", ""Playing the drums"", ""Playing music on the radio"", ""Play fighting""]","[""Playing the drums""]"
6211,956,1,"Why is the word ""loud"" written all in uppercase letters?","[""Because it is at the beginning of a sentence."", ""Because it is a proper noun."", ""To show that it is what Mel was thinking."", ""To show that it was really loud.""]","[""To show that it was really loud.""]"
6212,956,1,How do you think Mel is feeling?,"[""Happy"", ""Frustrated"", ""Relaxed"", ""Sad""]","[""Happy""]"
