id,passageId,questionTypeId,question,potentialAnswers,correctAnswers,Question Type
6191,952,1,What was unusual about King Tut?,"[""He was a ruler in Egypt."", ""He was still a child when he was ruler."", ""He did not live in Egypt, even when he was its ruler."", ""He only ruled Egypt for nine years.""]","[""He was still a child when he was ruler.""]",Literal
6192,952,4,Select the two words from the text that are synonyms (different words that mean the same thing).,"[""Ruler"", ""Years"", ""Old"", ""King""]","[""Ruler"", ""King""]",Literal
6193,952,1,Which part of the text tells the reader WHAT PLACE King Tut was ruler of?,"[""\""King Tut was a ruler in Egypt.\"""", ""\""But he was only nine years old!\"""", ""\""King Tut\""""]","[""\""King Tut was a ruler in Egypt.\""""]",Literal
6194,952,1,How old was King Tut when he ruled Egypt?,"[""3 years old"", ""6 years old"", ""9 years old"", ""12 years old""]","[""9 years old""]",Literal
6195,953,1,Who was Mozart?,"[""A famous musician"", ""A famous king"", ""A famous queen"", ""A famous scientist""]","[""A famous musician""]",Literal
6199,953,1,How old was Mozart when he learned to play the piano?,"[""2"", ""5"", ""8"", ""12""]","[""5""]",Literal
6200,954,1,At what was Bobby Fischer the best?,"[""Setting records"", ""Fishing"", ""Checkers"", ""Chess""]","[""Chess""]",Literal
6204,954,1,"What does the word ""champion"" mean?","[""Someone who is very young"", ""Someone who has been all over the world"", ""Someone who is the very best at something"", ""Someone who is the very worst at something""]","[""Someone who is the very best at something""]",Literal
6205,955,3,Put the events of the story into the correct order.,"[""The black cat crossed the road."", ""Lyle froze on the spot."", ""Lyle's mouth hung open."", ""Lyle said, \""Oh no! That's bad luck! Really bad! I'm cursed!\""""]","[""The black cat crossed the road."", ""Lyle froze on the spot."", ""Lyle's mouth hung open."", ""Lyle said, \""Oh no! That's bad luck! Really bad! I'm cursed!\""""]",Literal
6214,956,1,What was Mel doing with her right hand?,"[""Beating the snare drum"", ""Crashing the cymbal"", ""Kicking the bass drum"", ""Waving to her fans""]","[""Crashing the cymbal""]",Literal
6220,958,4,Which part(s) of the text give details about the sound of the potion? Select all that apply.,"[""\""The cauldron hissed and spit.\"""", ""\""The potion's color changed: Blue! Red! Acid green!\"""", ""\""It smelled of mint...and moldy cheese.\"""", ""\""A strange sound rang from the pot. Faint voices sung within.\""""]","[""\""The cauldron hissed and spit.\"""", ""\""A strange sound rang from the pot. Faint voices sung within.\""""]",Literal
6221,958,4,Which part(s) of the text give details about the smell of the potion? Select all that apply.,"[""\""The cauldron hissed and spit.\"""", ""\""The potion's color changed: Blue! Red! Acid green!\"""", ""\""It smelled of mint… and moldy cheese.\"""", ""\""A strange sound rang from the pot. Faint voices sung within.\""""]","[""\""It smelled of mint… and moldy cheese.\""""]",Literal
6222,958,4,Which part(s) of the text give details about the look of the potion? Select all that apply.,"[""\""The cauldron hissed and spit.\"""", ""\""The potion's color changed: Blue! Red! Acid green!\"""", ""\""It smelled of mint… and moldy cheese.\"""", ""\""A strange sound rang from the pot. Faint voices sung within.\""""]","[""\""The potion's color changed: Blue! Red! Acid green!\""""]",Literal
6223,958,1,"Which word from the text is a synonym for ""cauldron""?","[""Potion"", ""Moldy"", ""Pot"", ""Faint""]","[""Pot""]",Literal
6225,960,1,Who are the main characters in this story?,"[""Two halves of a table"", ""Two tables"", ""Two table makers"", ""Two people sitting at a table""]","[""Two halves of a table""]",Literal
6228,960,1,"How do the words ""hole"" and ""whole"" relate to each other?","[""They are antonyms (words that mean opposite things)."", ""They are synonyms (different words that mean the same thing)."", ""They are homographs (words that look the same, but have different meanings)."", ""They are homophones (words that look different, but sound the same).""]","[""They are homophones (words that look different, but sound the same).""]",Literal
6232,959,1,Who is the narrator talking to?,"[""A sock"", ""A mitten"", ""The owner of a sock"", ""The owner of a mitten""]","[""A sock""]",Literal
6234,959,4,What does the sock say to try and prove that it is a mitten? Select all that apply.,"[""\""The sock was wrong.\"""", ""\""But I'm made of cloth.\"""", ""\""But I keep your fingers warm.\"""", ""\""My feet are on the ground.\""""]","[""\""But I'm made of cloth.\"""", ""\""But I keep your fingers warm.\""""]",Literal
6240,959,1,The sock says that it must be a mitten because it is made of cloth. How does the narrator argue with this point?,"[""By saying that the sock is not really made from cloth."", ""By saying that many things are made from cloth, not just mittens."", ""By saying that the sock is made out of a different kind of cloth than mittens."", ""By saying that feet go on the ground and hands go in the air.""]","[""By saying that many things are made from cloth, not just mittens.""]",Literal
6241,961,1,Who is the main character of this story?,"[""The river"", ""The sky"", ""Esh"", ""The forest""]","[""Esh""]",Literal
6242,961,1,Where did the river end?,"[""at the forest's edge"", ""at the sky's edge"", ""at the field's edge"", ""at the hill's edge""]","[""at the sky's edge""]",Literal
6257,965,1,"Why do the words ""lion"" and ""leapt"" in the title sound good together?","[""They rhyme."", ""They have the same starting sound."", ""They have the same ending sound."", ""They have the same vowel sound.""]","[""They have the same starting sound.""]",Literal
6258,965,3,Put Tom's actions into the correct order.,"[""Tom crashed through the brush."", ""Tom jumped."", ""Tom rolled."", ""Tom ducked.""]","[""Tom crashed through the brush."", ""Tom jumped."", ""Tom rolled."", ""Tom ducked.""]",Literal
6262,967,1,From what did the moth break free?,"[""A piece of ice"", ""A dungeon"", ""A cocoon"", ""A trap""]","[""A cocoon""]",Literal
6263,967,3,Put the events of the story into the correct order.,"["" It broke free of its cocoon. "", ""It spread its new wings."", ""It flew into the air."", ""It flew higher and higher."", ""It forgot who it had been before.""]","["" It broke free of its cocoon. "", ""It spread its new wings."", ""It flew into the air."", ""It flew higher and higher."", ""It forgot who it had been before.""]",Literal
6266,968,1,Who is the main character of this story?,"[""Reg"", ""Roger"", ""The plant"", ""None of the above""]","[""Reg""]",Literal
6267,968,4,"What do all of these sentences have in common: ""He saw it sprout. He saw it grow. He saw it bloom.""? Select all that apply.","[""They all end with the same word."", ""They all start with the same words."", ""They all describe what Reg saw while watching the plant."", ""They all describe what Reg did to help the plant.""]","[""They all start with the same words."", ""They all describe what Reg saw while watching the plant.""]",Literal
6268,968,4,"What do all of these sentences have in common: ""He measured it. He watered it. He turned it in the sun.""? Select all that apply.","[""They all end with the same word."", ""They all start with the same words."", ""They all describe what Reg saw while he was watching the plant."", ""They all describe what Reg did to help the plant.""]","[""They all end with the same word."", ""They all describe what Reg did to help the plant.""]",Literal
6271,969,1,Where did Niv find the folded note?,"[""under the book"", ""beside the book"", ""inside the book"", ""on top of the book""]","[""inside the book""]",Literal
6273,969,1,Who is the main character of this story?,"[""Niv"", ""The book"", ""The pages"", ""The folded note""]","[""Niv""]",Literal
6280,970,3,Put the events of the story into the correct order.,"[""The sun rose."", ""The doves lifted the girl out of bed."", ""The doves sang to the girl."", ""The doves gave the girl water."", ""The doves lay out a dress for the girl to wear."", ""The girl refused to wear the dress.""]","[""The sun rose."", ""The doves lifted the girl out of bed."", ""The doves sang to the girl."", ""The doves gave the girl water."", ""The doves lay out a dress for the girl to wear."", ""The girl refused to wear the dress.""]",Literal
6283,971,1,"To which sense does the word ""cooed"" relate?","[""sight"", ""sound"", ""smell"", ""taste""]","[""sound""]",Literal
6286,964,1,Who is the main character of this story?,"[""Winne"", ""The old man"", ""The gem quest"", ""The narrator""]","[""Winne""]",Literal
6294,964,3,Put the tasks Winnie and the old man have to do to escape into the correct order.,"[""Go to each cave."", ""Collect a gem from each cave."", ""Line up the gems in the right place at the right time."", ""Wait for the sunbeam to hit the gems the right way.""]","[""Go to each cave."", ""Collect a gem from each cave."", ""Line up the gems in the right place at the right time."", ""Wait for the sunbeam to hit the gems the right way.""]",Literal
7115,2,1,What does the book want?,"[""To be opened"", ""To be read"", ""To be closed"", ""To be left alone""]","[""To be read""]",Literal
7816,3,1,True or False: Philip is alone. ,"[""True"", ""False""]","[""False""]",Literal
7871,273,1,What was the broom going to do now that it was alive?,"[""sweep the floor"", ""fly off into the sky"", ""It wasn't sure.""]","[""It wasn't sure.""]",Literal
7872,271,1,To whom was the tree talking?,"[""An elf"", ""A wizard"", ""A dog"", ""The narrator""]","[""A wizard""]",Literal
7875,265,4,Which questions could NOT be answered by reading this passage?,"[""Who are the main characters in the passage?"", ""Did they catch the thief?"", ""Who were they trying to catch?"", ""What was the trap made out of?""]","[""Did they catch the thief?"", ""What was the trap made out of?""]",Literal
7876,262,1,Which question could be answered by reading this passage?,"[""What does the Elf like to do?"", ""Why was the Elf climbing the tree?"", ""Did the Elf hurt himself when he fell out of the tree?"", ""What type of tree was the Elf climbing?""]","[""What does the Elf like to do?""]",Literal
8039,852,4,Which of the following people are characters in the story?,"[""Mr. Lim"", ""Ms. Lim"", ""Arra"", ""Amanda""]","[""Ms. Lim"", ""Arra""]",Literal
8045,863,1,What is the genre of this passage?,"[""Historical Fiction"", ""Fantasy"", ""Mystery"", ""Poetry""]","[""Fantasy""]",Literal
8046,865,3,Put these events in the order they happened in the story.,"[""The ox liked to talk."", ""The ox liked to take long walks."", ""The ox liked to wear socks."", ""The ox opened is mouth.""]","[""The ox liked to wear socks."", ""The ox liked to take long walks."", ""The ox liked to talk."", ""The ox opened is mouth.""]",Literal
8050,885,1,True or False: The flame never went out.,"[""True"", ""False""]","[""True""]",Literal
8052,897,1,Who is the main character in this story?,"[""The wind"", ""Ady"", ""A wolf"", ""The window""]","[""Ady""]",Literal
8053,897,1,"According to this passage, what did Ady hear?","[""A dog"", ""A wolf"", ""A howl"", ""A radio""]","[""A howl""]",Literal
8054,900,4,What choices did dad give Taye?,"[""be wet and bored"", ""be dry and happy"", ""be wet and happy"", ""be dry and bored""]","[""be wet and happy"", ""be dry and bored""]",Literal
8055,900,1,How did Taye tell dad he was bored?,"[""He whispered."", ""He shouted."", ""He spoke in a normal tone."", ""He whined.""]","[""He shouted.""]",Literal
8056,905,1,What can Jing see from where she was in the tree?,"[""The breeze"", ""The yard next door"", ""The dog park"", ""Kids flying kites""]","[""The yard next door""]",Literal
8087,955,1,What did Lyle do when the black cat dashed across the road?,"[""He chased after it."", ""He screamed."", ""He froze."", ""He didn't do anything.""]","[""He froze.""]",Literal
8101,956,1,What was Mel doing with her left hand?,"[""Beating the snare drum"", ""Crashing the cymbal"", ""Kicking the base drum"", ""Waving to her fans""]","[""Beating the snare drum""]",Literal
8102,957,1,What did Greg see hanging from one of the leaves?,"[""A ribbon"", ""A dark, curly hair"", ""A piece of fuzz"", ""A grey piece of hair""]","[""A dark, curly hair""]",Literal
8103,957,1,What does Greg wish the plant could do?,"[""play games"", ""watch television"", ""talk"", ""sing""]","[""talk""]",Literal
8105,962,1,What did Lil wish she had with her?,"[""her pet bird"", ""her book"", ""her favorite shoes"", ""her jetpack""]","[""her jetpack""]",Literal
8106,962,1,What was the bird doing at the window?,"[""zooming by"", ""looking in at Lil"", ""pecking on the glass"", ""whizzing by""]","[""zooming by""]",Literal
8108,970,1,Which of the following did the doves NOT do?,"[""lifted the girl from the bed"", ""sang to the girl"", ""fixed breakfast for the girl"", ""laid out a dress for her to wear""]","[""fixed breakfast for the girl""]",Literal
8109,971,3,Put these events in the order they happened in the story.,"[""The fuzzy think cooed."", ""The fuzzy thing sat on Kal's shoulder"", ""The fuzzy thing sat in the palm of Kal's hand."", ""The fuzzy thing crawled up Kal's arm.""]","[""The fuzzy thing sat in the palm of Kal's hand."", ""The fuzzy think cooed."", ""The fuzzy thing crawled up Kal's arm."", ""The fuzzy thing sat on Kal's shoulder""]",Literal
8329,357,1,Which question is not answered in this passage?,"[""How does the child walk?"", ""How does the child swing?"", ""How does the child slither?"", ""How does the child gallop?""]","[""How does the child slither?""]",Literal
8815,959,1,Which sentence starts to change the mitten's mind?,"[""\""What about when you do a handstand?\"""", ""\""But I'm made of cloth.\"""", ""\""But I keep your fingers warm.\"""", ""\""My feet are on the ground,” I said. \""My hands are up here.”""]","[""\""What about when you do a handstand?\""""]",Literal
8816,964,1,What did they need to do with the gems?,"[""Use them for a bracelet"", ""Line them up"", ""Give them to the sun god""]","[""Line them up""]",Literal
8817,964,1,Where did they find the gems?,"[""In caves"", ""On the seashore"", ""In the sand""]","[""In caves""]",Literal
9046,295,1,Why did Marcie need to make sure her secrets were safe?,"[""She had heard someone in her bedroom."", ""She had been away all summer."", ""She was afraid her brother had found it.""]","[""She had been away all summer.""]",Literal
9047,295,1, What was missing from Marcie's secrets box?,"[""Her notebook"", ""The letter from her pen-pal"", ""Her photos""]","[""The letter from her pen-pal""]",Literal
9338,844,1,Which of the following do not describe the people Beth saw standing on the deck of the ship?,"[""Some had big hats."", ""Some wore jewelry of diamonds and colorful gems."", ""Some had pet parrots."", ""Some had a peg leg.""]","[""Some wore jewelry of diamonds and colorful gems.""]",Literal
9339,844,1,Who is the main character in this passage?,"[""The pirates"", ""The parrots"", ""Beth""]","[""Beth""]",Literal
